,Row,Col,Target,TMRE AREA,TMRE INTENSITY,TMRE FORM FACTOR,TMRE COUNT,TMRE DxA,MITOTRECKER AREA,MITOTRACKER DxA,MITOTRACKER FORM FACTOR,MITOTRACKER INTENSITY,MITOTRACKER COUNT,NUCLEAR DXA,NUC FORM FACTOR,NUC MEDIAN DENSITY,NUCLEAR PARIMETER,NUCLEAR WRMI,NUCLEUS MAX CHORD,NUCLEAR AVG DIAMETER,NUCLEAR MED DIAMETER,NUCLEAR AREA,NUCLEAR INTENSITY,CELL INTENSITY,CELL DXA,CELL AREA,CELL FORM FACTOR,CELL FIBER LENGTH,CELL END NODES,CELL PARIEMETER,CELL AVG  DIAMETER,CELL MED DIAMETER,CELL FRMI,CELL LENGTH,CELL CROSSING POINTS,CELL BRANCH NODES,Field,CHRONO_ORDER,ER AREA,ER INTENSITY,ER FORM FACTOR,ER COUNT,ER DxA,LYSO AREA,LYSO DxA,LYSO FORM FACTOR,LYSO INTENSITY,LYSO COUNT
5711,F,8,11,,,,,,,,,,,311294.114,0.947,1404.0,54.152,1.017,19.179,18.455,16.541,221.076,1408.084,7151.548,16986535.318,2375.225,0.349,169.769,4,292.552,18.455,16.541,0.859,118.311,0,0,16,43,162.982,69182.364,0.91,75.0,163530.972,204.599,880900.469,0.915,206908.723,69.0
5712,F,8,12,,,,,,,,,,,271978.103,0.805,1258.0,57.994,1.045,19.726,13.928,13.325,215.373,1262.826,8482.154,17148310.354,2021.693,0.225,180.679,4,336.355,13.928,13.325,1.009,139.896,0,2,16,43,329.661,259211.114,0.877,109.0,1323881.675,293.959,1214374.476,0.958,225643.207,76.0
5713,F,8,13,,,,,,,,,,,266597.802,0.931,1022.0,59.524,0.979,21.404,17.126,14.251,262.482,1015.68,7779.24,24279430.625,3121.054,0.267,187.984,2,383.352,17.126,14.251,1.32,171.86,0,0,16,43,81.755,36858.162,0.956,49.0,65279.659,149.25,362118.563,0.962,164159.757,77.0
5714,F,8,14,,,,,,,,,,,261781.969,0.823,1417.0,53.222,1.091,20.699,9.402,8.565,185.586,1410.57,14237.26,19632542.203,1378.955,0.167,169.066,4,322.191,9.402,8.565,1.054,131.579,0,2,16,43,146.398,55472.837,0.907,68.0,118991.094,371.383,1521519.155,0.978,162918.155,60.0
5715,F,8,15,,,,,,,,,,,243908.578,0.777,1067.0,61.109,1.078,21.052,22.09,20.099,230.794,1056.823,6417.239,16547211.221,2578.556,0.417,148.025,3,278.638,22.09,20.099,0.903,115.097,0,1,16,43,224.14,74064.044,0.907,69.0,333978.057,65.172,138942.582,0.994,105605.83,54.0
5716,F,8,1,,,,,,,,,,,284320.464,0.873,1111.0,60.634,1.042,23.064,24.816,28.099,255.511,1112.754,8552.688,18713749.253,2188.055,0.54,95.439,2,225.628,24.816,28.099,1.354,91.628,0,0,17,43,107.105,45281.197,0.98,42.0,147135.72,20.492,48149.878,1.104,55921.754,25.0
5717,F,8,2,,,,,,,,,,,268280.117,0.847,1238.0,57.559,1.089,22.759,22.289,25.66,223.4,1200.895,8562.933,8868361.656,1035.669,0.728,56.265,2,133.723,22.289,25.66,1.081,51.122,0,0,17,43,66.333,24769.87,0.956,26.0,68985.567,241.674,814375.79,0.879,54388.786,23.0
5718,F,8,3,,,,,,,,,,,400525.762,0.921,1817.0,56.23,0.929,19.806,17.266,17.266,231.639,1729.094,6830.367,11939578.814,1748.014,0.42,112.471,2,228.587,17.266,17.266,1.164,104.87,0,0,17,43,16.055,8494.587,0.939,10.0,13951.899,49.433,122459.871,1.138,57927.325,27.0
5719,F,8,4,,,,,,,,,,,267765.821,0.929,1253.0,54.355,1.01,19.777,15.817,11.37,218.436,1225.833,6404.224,14951036.57,2334.559,0.273,224.853,7,327.684,15.817,11.37,1.284,114.762,0,1,17,43,143.547,42909.455,0.852,39.0,192580.924,190.867,557742.272,0.904,101076.433,41.0
5720,F,8,5,,,,,,,,,,,275270.273,0.916,1279.0,55.044,0.992,20.363,24.808,28.693,220.76,1246.923,9697.578,15755098.029,1624.642,0.452,101.311,3,212.412,24.808,28.693,0.956,80.897,0,1,17,43,92.74,35824.629,0.958,31.0,127579.38,239.033,733343.299,0.937,52182.309,22.0
5721,F,8,6,,,,,,,,,,,241713.235,0.852,1153.0,56.219,1.068,21.595,11.026,9.639,214.316,1127.834,8697.011,16156043.657,1857.655,0.17,202.362,4,371.042,11.026,9.639,0.981,164.592,0,0,17,43,24.294,12154.425,0.959,11.0,27065.122,289.839,1043954.854,1.006,61158.002,27.0
5722,F,8,7,,,,,,,,,,,317946.793,0.897,1248.0,60.385,1.051,22.621,19.357,13.332,260.158,1222.128,8936.859,23362309.744,2614.152,0.299,195.625,4,331.438,19.357,13.332,0.909,125.324,0,0,17,43,31.265,13778.375,0.918,17.0,25647.93,19.752,46419.187,1.027,50507.835,23.0
5723,F,8,8,,,,,,,,,,,536278.422,0.933,2505.0,53.34,0.944,19.254,17.481,18.228,211.148,2539.828,14241.005,17841657.196,1252.837,0.563,90.384,3,167.272,17.481,18.228,0.936,74.043,0,1,17,43,39.716,25570.007,0.89,25.0,39578.387,166.151,513970.298,1.026,85155.239,35.0
5724,F,8,9,,,,,,,,,,,285894.512,0.907,1501.0,51.994,1.028,20.027,19.783,16.145,195.092,1465.432,9459.727,16487776.515,1742.944,0.464,142.527,4,217.268,19.783,16.145,0.972,72.493,0,0,17,43,108.795,34934.806,0.852,33.0,130559.845,371.489,1256151.48,1.002,67904.234,28.0
5725,F,8,10,,,,,,,,,,,800682.36,0.901,2701.0,63.343,1.008,23.017,14.865,9.957,287.832,2781.766,11848.62,24565017.235,2073.239,0.271,148.249,2,310.332,14.865,9.957,0.999,138.975,0,0,17,43,173.439,82199.37,0.917,85.0,188273.894,261.109,1084641.264,0.905,190620.654,62.0
5726,F,8,11,,,,,,,,,,,393703.341,0.946,1513.0,59.383,0.985,21.595,22.338,24.275,265.545,1482.623,12446.346,34185233.672,2746.608,0.381,161.209,3,301.093,22.338,24.275,0.964,138.679,0,1,17,43,298.395,108814.515,0.842,69.0,554469.749,400.747,1270858.714,1.016,127048.932,51.0
5727,F,8,12,,,,,,,,,,,267211.493,0.863,1016.0,62.348,1.112,24.091,11.495,9.232,267.024,1000.702,7780.648,15773638.136,2027.291,0.3,197.805,6,291.359,11.495,9.232,0.938,94.575,0,2,17,43,189.177,46809.285,0.852,33.0,317101.463,310.437,1000936.632,1.007,56262.188,22.0
5728,F,8,13,,,,,,,,,,,304883.742,0.839,1289.5,59.045,1.039,20.293,21.002,22.75,232.801,1309.632,8986.684,27265760.979,3034.018,0.317,216.393,6,346.598,21.002,22.75,0.957,140.313,0,4,17,43,503.839,351860.28,0.893,133.0,2355394.985,381.523,1739999.189,0.96,289546.627,95.0
5729,F,8,14,,,,,,,,,,,288710.199,0.928,1473.0,51.755,0.996,18.678,15.234,15.893,197.839,1459.322,9331.854,13748429.952,1473.28,0.328,122.821,3,237.547,15.234,15.893,1.011,98.602,0,1,17,43,202.803,81383.166,0.847,38.0,929071.156,274.523,1539092.461,0.942,63320.469,23.0
5730,F,8,15,,,,,,,,,,,286781.035,0.943,1246.0,55.408,1.02,20.287,21.352,23.559,230.477,1244.292,8217.02,19418327.582,2363.184,0.416,128.652,2,267.269,21.352,23.559,1.655,117.721,0,0,17,43,193.297,66771.431,0.911,56.0,298034.597,264.172,1137249.218,0.909,158562.426,51.0
5731,F,8,16,,,,,,,,,,,280031.074,0.881,1330.0,54.876,1.093,21.588,19.095,23.981,211.148,1326.234,8387.416,14782697.158,1762.485,0.473,119.972,3,216.346,19.095,23.981,1.053,83.911,0,1,17,43,90.416,38968.597,0.951,49.0,70777.417,174.918,658226.954,0.879,134988.809,43.0
5732,F,8,17,,,,,,,,,,,260951.639,0.769,1393.0,54.493,1.204,22.448,12.635,13.342,181.783,1435.509,12856.381,13619136.992,1059.329,0.403,89.208,2,181.802,12.635,13.342,1.073,82.076,0,0,17,43,96.12,34027.243,0.888,43.0,74704.085,119.464,531924.599,0.939,128744.47,44.0
