,Row,Col,Target,TMRE AREA,TMRE INTENSITY,TMRE FORM FACTOR,TMRE COUNT,TMRE DxA,MITOTRECKER AREA,MITOTRACKER DxA,MITOTRACKER FORM FACTOR,MITOTRACKER INTENSITY,MITOTRACKER COUNT,NUCLEAR DXA,NUC FORM FACTOR,NUC MEDIAN DENSITY,NUCLEAR PARIMETER,NUCLEAR WRMI,NUCLEUS MAX CHORD,NUCLEAR AVG DIAMETER,NUCLEAR MED DIAMETER,NUCLEAR AREA,NUCLEAR INTENSITY,CELL INTENSITY,CELL DXA,CELL AREA,CELL FORM FACTOR,CELL FIBER LENGTH,CELL END NODES,CELL PARIEMETER,CELL AVG  DIAMETER,CELL MED DIAMETER,CELL FRMI,CELL LENGTH,CELL CROSSING POINTS,CELL BRANCH NODES,Field,CHRONO_ORDER,ER AREA,ER INTENSITY,ER FORM FACTOR,ER COUNT,ER DxA,LYSO AREA,LYSO DxA,LYSO FORM FACTOR,LYSO INTENSITY,LYSO COUNT
5061,F,6,3,126.435,1738814.305,0.852,38.0,5911637.483,306.106,302116.431,1.063,16620.859,24.0,258545.993,0.853,1584.0,47.645,0.976,18.345,13.82,13.82,154.004,1678.831,16840.493,16927096.809,1005.143,0.403,109.878,4,177.139,13.82,13.82,1.069,65.859,0,2,17,45,,,,,,,,,,
5062,F,6,4,119.041,1319019.085,0.858,35.0,5098359.576,263.961,295183.841,1.146,23888.407,33.0,282086.884,0.811,1860.0,48.184,1.088,19.779,11.418,11.576,149.778,1883.36,14484.431,18501575.866,1277.342,0.259,140.918,4,249.178,11.418,11.576,1.49,110.836,0,2,17,45,,,,,,,,,,
5063,F,6,5,94.853,1625239.91,0.903,43.0,3712805.707,294.381,255970.817,1.188,65462.097,97.0,276889.211,0.531,1154.0,75.773,1.309,23.16,16.403,14.025,242.624,1141.226,11077.626,29620874.152,2673.937,0.26,179.691,2,359.506,16.403,14.025,1.008,163.345,0,0,17,45,,,,,,,,,,
5064,F,6,6,66.122,993737.469,0.838,23.0,2882014.595,145.765,120211.292,1.103,27127.602,41.0,315001.29,0.94,1515.0,54.0,0.926,19.482,15.812,17.927,218.013,1444.872,12017.242,12155201.86,1011.48,0.514,95.845,4,157.255,15.812,17.927,1.028,66.97,0,0,17,45,,,,,,,,,,
5065,F,6,7,91.684,1520267.977,0.908,41.0,3377078.791,222.978,191779.112,1.055,58639.909,84.0,319692.272,0.909,1253.0,60.073,0.996,22.746,13.528,11.583,261.003,1224.859,11009.559,25598963.654,2325.158,0.195,224.345,4,386.695,13.528,11.583,0.953,148.637,0,2,17,45,,,,,,,,,,
5066,F,6,8,91.684,715435.034,0.767,19.0,3705572.081,176.185,159754.399,1.17,20575.658,30.0,304298.359,0.814,1619.0,54.765,1.09,21.415,16.094,19.458,194.247,1566.551,9614.686,14542911.714,1512.573,0.383,123.089,3,222.767,16.094,19.458,0.955,98.813,0,1,17,45,,,,,,,,,,
5067,F,6,9,83.339,787892.269,0.818,20.0,3700002.603,194.564,271732.31,1.213,17878.199,25.0,275599.933,0.899,1990.0,43.84,0.891,16.096,9.502,7.364,137.526,2003.987,12708.795,12739248.742,1002.396,0.229,142.275,5,234.47,9.502,7.364,0.968,101.406,0,1,17,45,,,,,,,,,,
5068,F,6,10,91.156,845674.505,0.812,25.0,3220612.758,132.35,113494.497,1.018,32510.023,46.0,291311.571,0.859,1372.5,56.787,1.063,21.493,14.226,12.067,220.337,1322.118,9284.688,18908086.641,2036.481,0.198,189.453,4,359.339,14.226,12.067,1.002,162.673,0,0,17,45,,,,,,,,,,
5069,F,6,1,69.08,1619601.805,0.896,35.0,3185390.623,334.097,326987.9,1.2,25464.539,38.0,448590.506,0.536,1733.5,75.141,1.186,26.15,18.897,18.865,240.829,1862.696,12434.559,18812114.749,1512.89,0.522,122.224,5,190.867,18.897,18.865,1.283,78.278,0,1,18,45,,,,,,,,,,
5070,F,6,2,53.236,786171.868,0.886,22.0,2010149.847,157.067,130878.098,1.159,17696.361,26.0,266691.282,0.935,1346.0,52.42,0.968,19.062,18.153,18.758,204.493,1304.158,7700.993,15734169.284,2043.135,0.386,127.81,2,258.072,18.153,18.758,1.063,117.511,0,0,18,45,,,,,,,,,,
