,Row,Col,Target,TMRE AREA,TMRE INTENSITY,TMRE FORM FACTOR,TMRE COUNT,TMRE DxA,MITOTRECKER AREA,MITOTRACKER DxA,MITOTRACKER FORM FACTOR,MITOTRACKER INTENSITY,MITOTRACKER COUNT,NUCLEAR DXA,NUC FORM FACTOR,NUC MEDIAN DENSITY,NUCLEAR PARIMETER,NUCLEAR WRMI,NUCLEUS MAX CHORD,NUCLEAR AVG DIAMETER,NUCLEAR MED DIAMETER,NUCLEAR AREA,NUCLEAR INTENSITY,CELL INTENSITY,CELL DXA,CELL AREA,CELL FORM FACTOR,CELL FIBER LENGTH,CELL END NODES,CELL PARIEMETER,CELL AVG  DIAMETER,CELL MED DIAMETER,CELL FRMI,CELL LENGTH,CELL CROSSING POINTS,CELL BRANCH NODES,Field,ER AREA,ER INTENSITY,ER FORM FACTOR,ER COUNT,ER DxA,LYSO AREA,LYSO DxA,LYSO FORM FACTOR,LYSO INTENSITY,LYSO COUNT,CHRONO_ORDER
3756,E,3,6,,,,,,,,,,,283832.786,0.639,1659.0,57.323,1.247,21.458,20.001,14.439,167.101,1698.568,12122.568,22196868.579,1831.037,0.394,142.181,4,241.516,20.001,14.439,0.725,94.985,0,0,13,159.391,99069.435,0.931,93.0,166774.237,314.767,1268400.15,0.955,153191.122,48.0,38
3757,E,3,7,,,,,,,,,,,290845.758,0.747,1344.0,59.553,0.986,20.881,17.773,16.72,210.936,1378.832,10061.184,18980330.789,1886.491,0.38,143.629,4,249.854,17.773,16.72,1.136,105.328,0,2,13,141.328,66537.803,0.931,79.0,120242.663,132.139,529295.554,0.979,325600.277,96.0,38
3758,E,3,8,,,,,,,,,,,279455.198,0.64,1650.0,56.818,1.059,19.778,17.569,15.289,164.355,1700.315,12730.701,26069707.962,2047.783,0.3,207.697,7,292.896,17.569,15.289,1.061,89.181,0,3,13,252.342,129191.537,0.936,129.0,258468.252,418.176,2243097.659,0.997,568232.525,129.0,38
3759,E,3,9,,,,,,,,,,,277894.248,0.903,1397.0,53.568,1.028,20.453,16.9,18.248,206.183,1347.803,11897.797,14257529.703,1198.334,0.486,97.335,3,176.048,16.9,18.248,0.866,77.043,0,1,13,151.891,62236.022,0.911,75.0,128028.504,148.617,735070.822,0.901,264190.957,67.0,38
3760,E,3,10,,,,,,,,,,,333519.109,0.827,1351.0,61.566,0.958,20.044,15.076,12.751,249.384,1337.37,8246.996,17172905.293,2082.322,0.26,213.844,6,317.079,15.076,12.751,0.72,122.035,0,4,13,196.149,74672.465,0.934,99.0,150591.082,149.25,617226.728,0.955,409259.366,115.0,38
3761,E,3,11,,,,,,,,,,,492604.892,0.903,2426.0,52.284,0.861,18.466,13.627,11.152,196.36,2508.685,13062.69,22045923.12,1687.702,0.275,168.01,5,277.59,13.627,11.152,1.276,122.607,0,1,13,206.606,91186.141,0.928,110.0,180631.599,277.587,1610522.967,0.956,282984.12,71.0,38
3762,E,3,1,,,,,,,,,,,536908.801,0.883,2157.0,58.438,0.988,21.544,17.102,13.756,239.984,2237.273,13515.672,18893046.683,1397.862,0.407,145.908,5,207.746,17.102,13.756,1.094,61.322,0,1,14,64.432,35488.091,0.932,37.0,63139.241,158.123,383977.668,0.942,100784.072,48.0,38
3763,E,3,2,,,,,,,,,,,281630.049,0.834,1709.0,48.646,0.965,16.972,16.792,19.671,157.067,1793.06,12129.014,16908568.956,1394.06,0.463,108.652,4,194.51,16.792,19.671,1.271,78.757,0,2,14,57.566,27003.282,0.89,29.0,53536.94,142.173,351310.851,0.998,83383.282,40.0,38
3764,E,3,3,,,,,,,,,,,304934.126,0.854,1590.0,52.54,1.087,20.795,12.422,14.865,187.698,1624.596,12094.456,14797237.08,1223.473,0.286,110.785,2,231.857,12.422,14.865,0.987,102.488,0,0,14,87.776,43408.927,0.903,44.0,86832.235,225.407,623332.789,0.968,75573.018,35.0,38
3765,E,3,4,,,,,,,,,,,288320.543,0.797,1281.0,59.642,1.083,21.79,26.016,26.542,225.618,1277.912,8211.506,16856144.897,2052.747,0.404,162.331,5,252.584,26.016,26.542,1.281,93.234,0,3,14,69.502,27576.323,0.899,36.0,55205.946,163.932,447588.215,0.946,160233.927,71.0,38
