,Row,Col,Target,ER AREA,ER INTENSITY,ER FORM FACTOR,ER COUNT,ER DxA,LYSO AREA,LYSO DxA,LYSO FORM FACTOR,LYSO INTENSITY,LYSO COUNT,NUCLEAR DXA,NUC FORM FACTOR,NUC MEDIAN DENSITY,NUCLEAR PARIMETER,NUCLEAR WRMI,NUCLEUS MAX CHORD,NUCLEAR AVG DIAMETER,NUCLEAR MED DIAMETER,NUCLEAR AREA,NUCLEAR INTENSITY,CELL INTENSITY,CELL DXA,CELL AREA,CELL FORM FACTOR,CELL FIBER LENGTH,CELL END NODES,CELL PARIEMETER,CELL AVG  DIAMETER,CELL MED DIAMETER,CELL FRMI,CELL LENGTH,CELL CROSSING POINTS,CELL BRANCH NODES,Field,TMRE AREA,TMRE INTENSITY,TMRE FORM FACTOR,TMRE COUNT,TMRE DxA,MITOTRECKER AREA,MITOTRACKER DxA,MITOTRACKER FORM FACTOR,MITOTRACKER INTENSITY,MITOTRACKER COUNT,CHRONO_ORDER
633,C,2,6,,,,,,,,,,,245663.458,0.743,2762.0,38.53,1.042,13.205,24.378,24.017,87.776,2798.764,8828.163,38957512.996,4412.867,0.223,358.803,9,498.583,24.378,24.017,0.864,167.15,0,5,1,290.262,2095949.329,0.896,158.0,3906992.155,1508.559,3087791.025,0.912,129304.732,113.0,19
634,C,2,1,,,,,,,,,,,197220.994,0.687,2174.0,40.775,1.073,12.587,21.46,21.839,90.839,2171.108,7557.153,25497261.097,3373.924,0.306,206.14,4,372.305,21.46,21.839,1.147,165.502,0,2,2,196.571,1070156.538,0.911,93.0,2395984.747,822.303,1342254.574,1.075,119591.431,94.0,19
635,C,2,2,,,,,,,,,,,378347.56,0.463,2240.0,67.702,1.339,20.485,21.62,23.781,169.003,2238.709,8136.578,8187015.049,1006.199,0.644,86.868,4,140.158,21.62,23.781,0.784,52.863,0,0,2,37.814,220306.818,0.949,20.0,424638.727,528.661,770073.254,1.142,82547.031,69.0,19
636,C,2,3,,,,,,,,,,,347399.71,0.67,2666.5,49.186,1.134,15.657,17.706,7.506,129.076,2691.442,13544.977,16463175.45,1215.445,0.292,155.868,6,228.809,17.706,7.506,0.904,68.989,0,2,2,179.354,720287.019,0.879,53.0,2550977.605,924.338,2663242.398,1.077,24464.855,17.0,19
637,C,2,4,,,,,,,,,,,421683.506,0.528,2808.5,59.634,1.859,22.645,17.428,14.61,149.356,2823.345,9952.134,37824636.93,3800.656,0.189,290.059,7,502.887,17.428,14.61,0.924,198.325,0,3,2,552.85,2775936.441,0.776,196.0,8004645.998,1638.268,3773831.466,1.026,73384.01,50.0,19
638,C,2,5,,,,,,,,,,,499610.259,0.515,2732.5,66.625,1.118,17.213,17.825,17.925,181.889,2746.787,6464.947,17389290.54,2689.781,0.3,227.661,6,335.653,17.825,17.925,1.078,140.446,0,2,2,116.189,654635.159,0.909,51.0,1565080.403,1086.686,2559136.942,1.119,53361.771,42.0,19
639,C,2,6,,,,,,,,,,,330597.055,0.48,2231.0,62.428,1.74,19.886,16.9,17.68,148.722,2222.916,11430.403,19950324.747,1745.374,0.376,156.969,5,241.381,16.9,17.68,1.09,74.684,0,3,2,17.112,71400.783,0.665,4.0,318742.267,1041.161,2022503.721,1.459,48536.008,42.0,19
640,C,2,1,,,,,,,,,,,457816.143,0.78,3047.0,49.255,1.176,19.651,15.336,14.777,150.518,3041.606,10470.572,14712728.313,1405.15,0.419,100.056,2,205.318,15.336,14.777,1.103,92.453,0,0,3,21.125,145886.305,0.912,12.0,266145.403,678.017,1602974.363,1.27,54285.235,46.0,19
641,C,2,2,,,,,,,,,,,731501.594,0.929,4138.0,49.107,0.934,17.127,14.068,13.313,178.298,4102.698,19905.284,25474219.186,1279.772,0.389,95.974,2,203.428,14.068,13.313,1.711,89.702,0,0,3,129.604,709425.204,0.823,51.0,1842206.535,938.915,2556988.392,1.075,8596.624,6.0,19
642,C,2,3,,,,,,,,,,,853946.044,0.834,3855.0,57.487,1.026,20.12,12.369,10.62,219.386,3892.429,17909.468,19397655.297,1083.095,0.342,110.636,3,199.429,12.369,10.62,0.887,83.989,0,1,3,227.942,1000637.05,0.742,58.0,4156890.182,745.829,2349619.852,1.139,18470.504,13.0,19
