,Row,Col,Target,TMRE AREA,TMRE INTENSITY,TMRE FORM FACTOR,TMRE COUNT,TMRE DxA,MITOTRECKER AREA,MITOTRACKER DxA,MITOTRACKER FORM FACTOR,MITOTRACKER INTENSITY,MITOTRACKER COUNT,NUCLEAR DXA,NUC FORM FACTOR,NUC MEDIAN DENSITY,NUCLEAR PARIMETER,NUCLEAR WRMI,NUCLEUS MAX CHORD,NUCLEAR AVG DIAMETER,NUCLEAR MED DIAMETER,NUCLEAR AREA,NUCLEAR INTENSITY,CELL INTENSITY,CELL DXA,CELL AREA,CELL FORM FACTOR,CELL FIBER LENGTH,CELL END NODES,CELL PARIEMETER,CELL AVG  DIAMETER,CELL MED DIAMETER,CELL FRMI,CELL LENGTH,CELL CROSSING POINTS,CELL BRANCH NODES,Field,ER AREA,ER INTENSITY,ER FORM FACTOR,ER COUNT,ER DxA,LYSO AREA,LYSO DxA,LYSO FORM FACTOR,LYSO INTENSITY,LYSO COUNT,CHRONO_ORDER
82,B,3,11,214.528,440733.622,0.777,29.0,3710039.664,1.373,163.193,1.476,884.167,8.0,247267.186,0.915,1127.0,54.996,1.023,20.819,21.483,24.817,220.126,1123.299,2819.211,4470328.093,1585.666,0.528,146.953,6,194.22,21.483,24.817,1.373,76.825,0,0,8,,,,,,,,,,,1
83,B,3,12,211.464,619138.799,0.778,45.0,3257325.39,2.218,250.124,1.417,886.75,8.0,403424.895,0.801,1332.0,69.366,1.215,28.309,18.835,20.327,306.845,1314.75,2737.112,5380948.82,1965.922,0.408,140.692,4,246.147,18.835,20.327,0.881,101.97,0,0,8,,,,,,,,,,,1
84,B,3,13,136.575,381276.988,0.889,32.0,1666322.428,0.106,11.196,1.571,106.0,1.0,293817.773,0.728,1114.5,67.969,1.318,27.714,12.902,12.481,267.658,1097.737,2332.905,2923735.406,1253.259,0.339,103.006,2,215.421,12.902,12.481,1.38,96.579,0,0,8,,,,,,,,,,,1
85,B,3,14,144.603,265875.198,0.808,21.0,2176915.105,0.317,34.646,1.571,328.0,3.0,316698.181,0.839,1193.0,63.39,1.071,24.311,18.331,21.021,268.186,1180.891,2727.856,3499677.032,1282.94,0.498,131.453,5,179.898,18.331,21.021,0.819,71.565,0,1,8,,,,,,,,,,,1
86,B,3,15,119.569,431964.596,0.814,38.0,1414751.486,0.951,104.148,1.509,881.5,8.0,306923.603,0.858,1156.0,62.738,1.053,23.282,25.677,26.102,268.714,1142.194,2220.593,3085787.712,1389.623,0.643,105.463,5,164.831,25.677,26.102,1.025,58.035,0,1,8,,,,,,,,,,,1
87,B,3,16,239.033,564681.642,0.865,42.0,3439513.503,1.69,190.233,1.517,1326.6,12.0,233916.197,0.896,855.0,61.934,1.029,22.802,19.326,15.744,273.362,855.702,2774.819,6255812.73,2254.494,0.389,144.312,3,269.755,19.326,15.744,1.099,117.512,0,1,8,,,,,,,,,,,1
88,B,3,1,421.028,1008673.459,0.818,73.0,7109789.511,5.493,613.69,1.477,4345.667,39.0,226364.425,0.842,981.0,58.772,1.112,22.759,18.865,19.849,231.322,978.568,2522.891,4769536.308,1890.505,0.435,109.018,2,233.756,18.865,19.849,1.436,100.559,0,0,9,,,,,,,,,,,1
89,B,3,2,288.361,640025.964,0.657,41.0,5210764.957,2.852,316.563,1.459,2429.0,22.0,225121.306,0.828,1060.0,56.844,1.108,21.618,24.845,25.951,212.838,1057.714,2730.004,4093861.004,1499.581,0.602,90.136,3,176.922,24.845,25.951,1.045,65.704,0,1,9,,,,,,,,,,,1
90,B,3,3,463.806,968065.176,0.665,46.0,10474823.28,3.38,378.038,1.494,2993.833,27.0,266014.11,0.771,1085.0,63.497,1.228,24.597,22.036,22.603,247.272,1075.796,3103.344,8893094.648,2865.649,0.283,219.11,5,356.519,22.036,22.603,1.186,131.22,0,3,9,,,,,,,,,,,1
91,B,3,4,327.971,364027.097,0.554,16.0,8575488.501,0.211,23.132,1.571,219.0,2.0,423538.626,0.921,1933.0,54.681,1.01,21.021,9.652,6.894,219.175,1932.421,3315.919,3435944.803,1036.197,0.326,108.44,3,199.935,9.652,6.894,1.181,79.284,0,1,9,,,,,,,,,,,1
92,B,3,5,248.328,355845.285,0.685,20.0,5761103.545,0.211,23.872,1.571,226.0,2.0,268125.268,0.876,1307.0,54.347,1.091,21.477,12.302,12.026,205.866,1302.425,2793.653,3160055.136,1131.155,0.339,100.317,2,204.888,12.302,12.026,1.122,93.232,0,0,9,,,,,,,,,,,1
93,B,3,6,347.3,1074176.242,0.761,55.0,7313457.423,1.69,196.782,1.407,1382.0,12.0,237643.443,0.327,1042.0,93.702,1.689,21.752,28.567,31.761,228.787,1038.71,3098.674,6170630.699,1991.378,0.573,155.072,6,208.956,28.567,31.761,1.386,74.317,0,2,9,,,,,,,,,,,1
94,B,3,7,370.221,1210811.515,0.834,77.0,6077488.438,1.69,187.065,1.5,1547.5,14.0,494506.488,0.947,1267.0,72.333,0.963,25.107,19.41,18.946,394.304,1254.125,2892.767,14840407.405,5130.178,0.174,308.634,3,608.43,19.41,18.946,1.049,270.856,0,1,9,,,,,,,,,,,1
95,B,3,8,307.479,882897.895,0.71,48.0,6651875.98,0.845,98.021,1.407,696.0,6.0,345945.865,0.889,1383.0,59.438,1.102,22.345,14.983,14.983,249.807,1384.853,3763.208,4798159.845,1275.019,0.426,106.757,3,194.018,14.983,14.983,0.874,85.711,0,1,9,,,,,,,,,,,1
96,B,3,9,215.478,475930.491,0.772,30.0,3948360.595,1.162,128.864,1.398,768.25,7.0,380332.177,0.773,1810.5,58.157,1.113,21.945,13.65,12.318,208.084,1827.779,3117.971,3976129.085,1275.23,0.309,127.366,4,227.747,13.65,12.318,0.808,95.306,0,0,9,,,,,,,,,,,1
97,B,3,10,217.696,658953.415,0.785,45.0,3577545.373,0.951,106.26,1.509,889.5,8.0,254337.091,0.871,1022.5,59.935,1.049,22.188,16.267,12.191,249.067,1021.157,2898.321,4785882.761,1651.26,0.308,148.233,5,259.435,16.267,12.191,0.753,93.333,0,3,9,,,,,,,,,,,1
98,B,3,11,211.676,326353.876,0.689,20.0,3770717.383,0.528,59.045,1.37,339.667,3.0,376220.346,0.829,1944.5,54.26,1.098,21.544,13.65,13.039,194.142,1937.865,2857.54,3073859.301,1075.701,0.436,84.429,2,176.105,13.65,13.039,0.986,77.599,0,0,9,,,,,,,,,,,1
99,B,3,12,143.441,557543.335,0.919,35.0,2407181.481,0.423,48.799,1.571,462.0,4.0,426839.668,0.899,1320.0,67.466,1.004,24.845,19.87,17.852,325.541,1311.17,3101.808,5572388.026,1796.497,0.467,99.178,2,219.953,19.87,17.852,1.119,92.751,0,0,9,,,,,,,,,,,1
100,B,3,1,446.061,1282588.367,0.758,64.0,10357620.127,623.619,120127.424,1.326,63037.935,385.0,247314.085,0.772,1070.0,61.798,1.176,24.289,14.168,14.701,234.597,1054.21,2918.585,6807134.384,2332.341,0.213,235.318,6,370.851,14.168,14.701,1.277,116.244,0,4,10,,,,,,,,,,,1
101,B,3,2,165.411,678839.255,0.706,37.0,3142879.726,427.471,73823.054,1.275,100726.577,615.0,245321.228,0.792,1111.0,59.632,1.153,23.231,14.998,15.867,224.14,1094.502,2840.413,4290630.127,1510.566,0.329,125.416,3,240.215,14.998,15.867,1.03,105.249,0,1,10,,,,,,,,,,,1
