,Row,Col,Target,TMRE AREA,TMRE INTENSITY,TMRE FORM FACTOR,TMRE COUNT,TMRE DxA,MITOTRECKER AREA,MITOTRACKER DxA,MITOTRACKER FORM FACTOR,MITOTRACKER INTENSITY,MITOTRACKER COUNT,NUCLEAR DXA,NUC FORM FACTOR,NUC MEDIAN DENSITY,NUCLEAR PARIMETER,NUCLEAR WRMI,NUCLEUS MAX CHORD,NUCLEAR AVG DIAMETER,NUCLEAR MED DIAMETER,NUCLEAR AREA,NUCLEAR INTENSITY,CELL INTENSITY,CELL DXA,CELL AREA,CELL FORM FACTOR,CELL FIBER LENGTH,CELL END NODES,CELL PARIEMETER,CELL AVG  DIAMETER,CELL MED DIAMETER,CELL FRMI,CELL LENGTH,CELL CROSSING POINTS,CELL BRANCH NODES,Field,ER AREA,ER INTENSITY,ER FORM FACTOR,ER COUNT,ER DxA,LYSO AREA,LYSO DxA,LYSO FORM FACTOR,LYSO INTENSITY,LYSO COUNT,CHRONO_ORDER
4749,F,2,13,389.973,845455.95,0.803,46.0,8377773.386,2.324,259.63,1.392,1677.667,15.0,477861.428,0.881,1537.0,66.425,1.058,24.157,16.344,17.159,309.38,1544.576,2826.341,4885254.879,1728.473,0.39,135.02,4,236.003,16.344,17.159,1.385,104.468,0,2,13,,,,,,,,,,,49
4750,F,2,14,256.778,485533.546,0.738,28.0,5412037.47,2.746,313.288,1.443,2040.0,18.0,245545.684,0.897,1164.0,54.014,1.046,20.311,14.171,14.905,208.296,1178.833,2737.068,5321017.036,1944.057,0.276,143.015,2,297.475,14.171,14.905,1.768,135.445,0,0,13,,,,,,,,,,,49
4751,F,2,15,467.503,866175.838,0.686,53.0,10394571.37,1.479,161.186,1.533,1418.5,13.0,310136.975,0.895,1214.0,59.558,1.106,23.102,19.061,18.85,252.553,1228.007,3058.659,5751394.244,1880.364,0.401,132.0,3,242.717,19.061,18.85,0.945,94.591,0,1,13,,,,,,,,,,,49
4752,F,2,16,253.926,552859.829,0.777,46.0,3302926.077,2.429,273.256,1.455,2026.167,18.0,234461.125,0.835,899.0,62.754,1.17,25.127,26.75,29.356,261.743,895.77,2387.379,6283841.378,2632.109,0.363,177.677,6,301.835,26.75,29.356,0.743,106.414,0,4,13,,,,,,,,,,,49
4753,F,2,17,267.341,374524.903,0.707,22.0,5413948.572,1.479,165.094,1.533,1446.5,13.0,245212.749,0.895,1141.0,55.042,1.076,21.066,13.549,15.234,215.795,1136.322,2802.712,4630375.924,1652.105,0.297,127.56,2,264.267,13.549,15.234,1.87,120.196,0,0,13,,,,,,,,,,,49
4754,F,2,18,335.048,634900.018,0.834,43.0,5675473.446,1.584,180.093,1.479,1353.833,12.0,259530.327,0.804,1110.5,60.408,1.263,24.275,15.653,14.653,233.435,1111.79,2564.258,4106685.761,1601.51,0.37,111.878,2,233.299,15.653,14.653,1.355,104.325,0,0,13,,,,,,,,,,,49
4755,F,2,19,233.752,327538.138,0.663,19.0,4785781.888,3.274,368.214,1.396,2005.667,18.0,337870.924,0.81,1676.0,54.574,1.013,20.368,8.878,7.351,192.029,1759.477,2600.667,3178548.872,1222.205,0.168,149.54,2,302.47,8.878,7.351,1.064,135.964,0,0,13,,,,,,,,,,,49
4756,F,2,20,557.286,1066130.109,0.684,102.0,6676307.198,7.605,873.004,1.439,4264.212,38.0,246216.836,0.802,1004.0,61.88,1.165,23.17,15.727,15.884,244.526,1006.917,2250.88,5956659.125,2646.368,0.2,219.545,4,407.609,15.727,15.884,0.881,156.809,0,2,13,,,,,,,,,,,49
4757,F,2,21,490.635,545123.025,0.744,33.0,8649929.259,5.598,628.795,1.449,4480.833,40.0,241773.548,0.893,1205.0,53.304,1.121,20.485,11.497,10.304,201.852,1197.774,2441.431,4288029.284,1756.359,0.2,162.457,2,332.389,11.497,10.304,1.234,149.971,0,0,13,,,,,,,,,,,49
4758,F,2,1,63.587,207620.701,0.845,19.0,745965.571,8.767,994.791,1.362,2313.696,21.0,214401.264,0.885,910.0,58.527,1.075,23.017,16.614,15.706,241.145,889.095,2244.03,2740531.377,1221.255,0.347,115.161,4,210.345,16.614,15.706,1.004,69.108,0,2,14,,,,,,,,,,,49
